id,code,model,is_active,created_at,updated_at
1,post_category,App\Models\Post\Post,1,2023/6/9 00:00,2023/6/9 00:00
2,post_tag,App\Models\Post\Post,1,2023/6/9 00:00,2023/6/9 00:00
3,product_category,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
4,product_tag,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
5,product_attribute,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
6,product_filter,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
7,product_option,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
8,product_brand,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
9,navigation,,1,2023/6/9 00:00,2023/6/9 00:00
10,admin_menu,,1,2023/6/9 00:00,2023/6/9 00:00
11,project_category,App\Models\Project\Project,1,2023/6/9 00:00,2023/6/9 00:00
12,project_tag,App\Models\Project\Project,1,2023/6/9 00:00,2023/6/9 00:00
13,inventory_stock_category,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
14,inventory_accounting_category,App\Models\Catalog\Product,1,2023/6/9 00:00,2023/6/9 00:00
